"metrica","algoritmo","media","desviacion_media"
"pctCorrect","RandomForest",59.483870967741936,0.6666666666666672
"pctCorrect","IBk5",58.60215053763441,0.6666666666666707
"pctCorrect","J48",58.35483870967742,0.655913978494624
"pctCorrect","REPTree",57.13978494623656,0.6881720430107479
"pctCorrect","A2DE",56.075268817204304,0.7741935483871017
"pctCorrect","IBk10",56.01075268817203,0.5677419354838704
"pctCorrect","A1DE",55.935483870967744,0.701075268817202
"pctCorrect","IBk1",55.666666666666664,0.5548387096774163
"pctCorrect","SimpleLogistic",55.46236559139786,0.7139784946236503
"pctCorrect","SMO",55.043010752688176,0.7440860215053753
"pctCorrect","RandomTree",54.60215053763441,0.7741935483870975
"pctCorrect","BayesNet",54.44086021505376,0.49892473118279457
"pctCorrect","DecisionTable",53.80645161290323,0.8817204301075279
"pctCorrect","Logistic",53.04301075268817,0.4129032258064512
"pctCorrect","RBFClassifier",50.924731182795696,0.5376344086021512
"pctCorrect","RBFNetwork",50.6989247311828,0.9677419354838719
"pctCorrect","MultilayerPerceptron",50.38709677419355,1.4709677419354854
"pctCorrect","NaiveBayes",44.397849462365585,0.7182795698924693
"kappa","IBk5",0.4208667813642015,0.00975611989382657
"kappa","RandomForest",0.4192811107806042,0.009315248191397308
"kappa","J48",0.4100546892083812,0.009328642133468863
"kappa","REPTree",0.3880006282194538,0.008747757252501575
"kappa","IBk1",0.3771785569875215,0.007890914155788815
"kappa","IBk10",0.37642669875184365,0.008854639247117779
"kappa","A2DE",0.37226724582913745,0.011015076162662119
"kappa","A1DE",0.3711347904039325,0.010481406011603972
"kappa","RandomTree",0.35919067569471885,0.01047748150390121
"kappa","SMO",0.34555006505821034,0.010467890852579325
"kappa","BayesNet",0.34170226950419924,0.006365608659545119
"kappa","DecisionTable",0.33812203691156173,0.011756174205379727
"kappa","SimpleLogistic",0.3376407215155426,0.011678846662587611
"kappa","Logistic",0.3274892891726896,0.006087541778399258
"kappa","MultilayerPerceptron",0.28142877403366284,0.020068203173640584
"kappa","RBFNetwork",0.2807749175004586,0.01594396194076571
"kappa","NaiveBayes",0.2597637315649984,0.010400734362506079
"kappa","RBFClassifier",0.22941593023852747,0.011505227333861398
"weightedFMeasure","RandomForest",0.5858918579723981,0.006580980717704066
"weightedFMeasure","IBk5",0.5851163057587135,0.00678350436147529
"weightedFMeasure","J48",0.5790761824200208,0.006647345776271208
"weightedFMeasure","REPTree",0.5621420360754812,0.00616315243389739
"weightedFMeasure","IBk1",0.5564088961280885,0.005641943903534364
"weightedFMeasure","IBk10",0.553859947434969,0.006378299152405786
"weightedFMeasure","A2DE",0.5523414259137198,0.0080632140924068
"weightedFMeasure","A1DE",0.5509920944416553,0.0072425974579632514
"weightedFMeasure","RandomTree",0.5433471599880434,0.007492312063889783
"weightedFMeasure","SMO",0.5340335486636725,0.007276718633710877
"weightedFMeasure","BayesNet",0.5305638516122612,0.004775080064001758
"weightedFMeasure","SimpleLogistic",0.5305528987048902,0.008474908349909405
"weightedFMeasure","DecisionTable",0.5247024749128355,0.008323246725470934
"weightedFMeasure","Logistic",0.5216141272465971,0.004201861652971961
"weightedFMeasure","RBFNetwork",0.4884281785954864,0.01078289279667798
"weightedFMeasure","MultilayerPerceptron",0.48684063459998883,0.014776237445425422
"weightedFMeasure","NaiveBayes",0.4634576469628698,0.008675536985071753
"weightedFMeasure","RBFClassifier",nan,nan
"weightedAreaUnderPRC","RandomForest",0.6369226999379989,0.0048868493046782206
"weightedAreaUnderPRC","IBk5",0.5950394300821094,0.0034100538073274624
"weightedAreaUnderPRC","IBk10",0.5928048478118784,0.002874256474872716
"weightedAreaUnderPRC","A2DE",0.5799143172568371,0.00610277877292954
"weightedAreaUnderPRC","SimpleLogistic",0.5778237852492512,0.006345892448776891
"weightedAreaUnderPRC","A1DE",0.5757724372034849,0.005749569012108702
"weightedAreaUnderPRC","REPTree",0.5696451515186375,0.0051496115033556
"weightedAreaUnderPRC","Logistic",0.5536892180215806,0.0061797776130167684
"weightedAreaUnderPRC","BayesNet",0.5523141877631641,0.0035849906572735348
"weightedAreaUnderPRC","DecisionTable",0.5478135855302189,0.008641405320014317
"weightedAreaUnderPRC","J48",0.5391977936144245,0.004294103766069734
"weightedAreaUnderPRC","RBFClassifier",0.5312507251689327,0.0031095361905007723
"weightedAreaUnderPRC","RBFNetwork",0.5006598951395611,0.006966320239126233
"weightedAreaUnderPRC","NaiveBayes",0.48665669383755406,0.005294547358574692
"weightedAreaUnderPRC","MultilayerPerceptron",0.48530478809462235,0.013481161081968025
"weightedAreaUnderPRC","SMO",0.45431290645639766,0.0044261965961667985
"weightedAreaUnderPRC","IBk1",0.4441518539727084,0.0042411378824879775
"weightedAreaUnderPRC","RandomTree",0.44318924923345093,0.007420313236238207
"weightedAreaUnderROC","RandomForest",0.8178623262710524,0.003296045571759798
"weightedAreaUnderROC","IBk10",0.813072996280311,0.0017224197236410887
"weightedAreaUnderROC","IBk5",0.8103404700032246,0.0018589243282026047
"weightedAreaUnderROC","A2DE",0.8006886663824977,0.00264994537206551
"weightedAreaUnderROC","A1DE",0.7970382726492383,0.0024903857429377507
"weightedAreaUnderROC","SimpleLogistic",0.7960490587502278,0.0022247213345574445
"weightedAreaUnderROC","REPTree",0.7950895646242546,0.004057266996449238
"weightedAreaUnderROC","Logistic",0.7798982899198065,0.0037255254091974944
"weightedAreaUnderROC","RBFClassifier",0.7797620614863929,0.0036409824530078904
"weightedAreaUnderROC","DecisionTable",0.7772685417405272,0.005496422522852628
"weightedAreaUnderROC","BayesNet",0.774816625243408,0.002417271435584656
"weightedAreaUnderROC","J48",0.7630089045385556,0.004454174380215614
"weightedAreaUnderROC","RBFNetwork",0.7353585161520628,0.005384573847705698
"weightedAreaUnderROC","SMO",0.7265837360423071,0.004020880201381538
"weightedAreaUnderROC","MultilayerPerceptron",0.719138652349897,0.012268859273480736
"weightedAreaUnderROC","NaiveBayes",0.7158697566834258,0.0028696428533025453
"weightedAreaUnderROC","IBk1",0.7013141715658071,0.0038155093192573262
"weightedAreaUnderROC","RandomTree",0.6964802227143786,0.00694400809512693
